nohup: no se tendrá en cuenta la entrada
wandb: Using wandb-core as the SDK backend. Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: jfphlorecti (scigeo). Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.18.5
wandb: Run data is saved locally in /home/tidop/projects/Noisy-Student/wandb/run-20241105_101647-p4ighlt6
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run Student Training Alabama ResUNet
wandb: ⭐️ View project at https://wandb.ai/scigeo/UNet-Attention-Teacher-Student-Training
wandb: 🚀 View run at https://wandb.ai/scigeo/UNet-Attention-Teacher-Student-Training/runs/p4ighlt6
MSE Loss: 1.5546, Lovasz Loss: 1.1720, BCE Loss: 1.1446
MSE Loss: 1.4687, Lovasz Loss: 1.1440, BCE Loss: 1.1243
MSE Loss: 1.6125, Lovasz Loss: 1.0379, BCE Loss: 1.0905
MSE Loss: 1.5030, Lovasz Loss: 1.1298, BCE Loss: 1.0817
MSE Loss: 1.5564, Lovasz Loss: 1.1156, BCE Loss: 1.2113
MSE Loss: 1.4637, Lovasz Loss: 1.1725, BCE Loss: 1.3432
MSE Loss: 1.6141, Lovasz Loss: 1.0972, BCE Loss: 1.0778
MSE Loss: 1.7437, Lovasz Loss: 1.0486, BCE Loss: 1.0311
MSE Loss: 1.6407, Lovasz Loss: 1.1224, BCE Loss: 1.1105
MSE Loss: 1.3018, Lovasz Loss: 1.0869, BCE Loss: 1.1055
MSE Loss: 1.4457, Lovasz Loss: 1.1088, BCE Loss: 1.1808
MSE Loss: 1.5394, Lovasz Loss: 1.1494, BCE Loss: 1.0927
MSE Loss: 1.6258, Lovasz Loss: 1.1397, BCE Loss: 1.1042
MSE Loss: 1.5205, Lovasz Loss: 1.1039, BCE Loss: 1.2259
MSE Loss: 1.4177, Lovasz Loss: 1.1320, BCE Loss: 1.0700
MSE Loss: 1.5763, Lovasz Loss: 1.0825, BCE Loss: 1.0690
MSE Loss: 1.4473, Lovasz Loss: 1.1363, BCE Loss: 1.1419
MSE Loss: 1.5981, Lovasz Loss: 1.1436, BCE Loss: 1.2068
MSE Loss: 1.4338, Lovasz Loss: 1.1442, BCE Loss: 1.1384
MSE Loss: 1.4060, Lovasz Loss: 1.0766, BCE Loss: 1.0489
MSE Loss: 1.5197, Lovasz Loss: 1.1190, BCE Loss: 1.0586
MSE Loss: 1.5989, Lovasz Loss: 1.0632, BCE Loss: 1.0868
MSE Loss: 1.5632, Lovasz Loss: 1.0621, BCE Loss: 1.1677
MSE Loss: 1.3838, Lovasz Loss: 1.0828, BCE Loss: 1.0611
MSE Loss: 1.3762, Lovasz Loss: 1.0279, BCE Loss: 1.0396
MSE Loss: 1.6682, Lovasz Loss: 1.1117, BCE Loss: 1.1187
MSE Loss: 1.4605, Lovasz Loss: 1.0930, BCE Loss: 1.0660
MSE Loss: 1.5164, Lovasz Loss: 1.0745, BCE Loss: 1.0483
MSE Loss: 1.3019, Lovasz Loss: 1.1739, BCE Loss: 1.1381
MSE Loss: 1.4181, Lovasz Loss: 1.0611, BCE Loss: 1.0806
MSE Loss: 1.5076, Lovasz Loss: 1.1086, BCE Loss: 1.0823
MSE Loss: 1.3769, Lovasz Loss: 1.0927, BCE Loss: 1.0630
MSE Loss: 1.6262, Lovasz Loss: 1.1082, BCE Loss: 1.0752
MSE Loss: 1.4269, Lovasz Loss: 1.0716, BCE Loss: 1.0842
MSE Loss: 1.6218, Lovasz Loss: 1.0590, BCE Loss: 1.0338
MSE Loss: 1.5212, Lovasz Loss: 1.0432, BCE Loss: 1.0357
MSE Loss: 1.6113, Lovasz Loss: 1.0449, BCE Loss: 1.0599
MSE Loss: 1.1898, Lovasz Loss: 1.0695, BCE Loss: 1.0608
MSE Loss: 1.4114, Lovasz Loss: 1.0538, BCE Loss: 1.1050
MSE Loss: 1.4866, Lovasz Loss: 1.0228, BCE Loss: 1.0251
MSE Loss: 1.3380, Lovasz Loss: 1.0434, BCE Loss: 1.0826
MSE Loss: 1.2077, Lovasz Loss: 1.0519, BCE Loss: 1.0542
MSE Loss: 1.2800, Lovasz Loss: 1.1182, BCE Loss: 1.1091
MSE Loss: 1.5333, Lovasz Loss: 1.0297, BCE Loss: 1.0459
MSE Loss: 1.1981, Lovasz Loss: 1.0459, BCE Loss: 1.0527
MSE Loss: 1.2626, Lovasz Loss: 1.0505, BCE Loss: 1.0766
MSE Loss: 1.3918, Lovasz Loss: 1.0471, BCE Loss: 1.0703
MSE Loss: 1.4726, Lovasz Loss: 1.0647, BCE Loss: 1.1018
MSE Loss: 1.5066, Lovasz Loss: 1.0280, BCE Loss: 1.0315
MSE Loss: 1.3836, Lovasz Loss: 1.0412, BCE Loss: 1.0260
MSE Loss: 1.3302, Lovasz Loss: 1.2447, BCE Loss: 1.0988
MSE Loss: 1.3252, Lovasz Loss: 1.0359, BCE Loss: 1.0415
MSE Loss: 1.2185, Lovasz Loss: 1.0332, BCE Loss: 1.0639
MSE Loss: 1.5222, Lovasz Loss: 1.0453, BCE Loss: 1.0963
MSE Loss: 1.3334, Lovasz Loss: 1.0261, BCE Loss: 1.0408
MSE Loss: 1.4776, Lovasz Loss: 1.0584, BCE Loss: 1.0468
MSE Loss: 1.3984, Lovasz Loss: 1.0274, BCE Loss: 1.0361
MSE Loss: 1.5034, Lovasz Loss: 1.0262, BCE Loss: 1.0243
